"Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Hochschule"

"Jahr";"Fachrichtung";"Geschlecht";"PH Zürich"
"2015/16";"Sekundarstufe II (Berufsbildung)";"Mann";199
"2015/16";"Sekundarstufe II (Berufsbildung)";"Frau";156
"2015/16";"Berufsbildung allgemein";"Mann";0
"2015/16";"Berufsbildung allgemein";"Frau";0
"2015/16";"Logopädie";"Mann";0
"2015/16";"Logopädie";"Frau";0
"2015/16";"Psychomotoriktherapie";"Mann";0
"2015/16";"Psychomotoriktherapie";"Frau";0
"2015/16";"Heilpädagogik";"Mann";0
"2015/16";"Heilpädagogik";"Frau";0
"2015/16";"Fachdidaktik";"Mann";24
"2015/16";"Fachdidaktik";"Frau";37
"2015/16";"Lehrkräfteausbildung allgemein";"Mann";8
"2015/16";"Lehrkräfteausbildung allgemein";"Frau";0
"2014/15";"Vorschul- und Primarstufe";"Mann";295
"2014/15";"Vorschul- und Primarstufe";"Frau";1677
"2014/15";"Sekundarstufe I";"Mann";400
"2014/15";"Sekundarstufe I";"Frau";567
"2014/15";"Sekundarstufe I und II zusammen";"Mann";0
"2014/15";"Sekundarstufe I und II zusammen";"Frau";0
"2014/15";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2014/15";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2014/15";"Sekundarstufe II (Berufsbildung)";"Mann";187
"2014/15";"Sekundarstufe II (Berufsbildung)";"Frau";144
"2014/15";"Berufsbildung allgemein";"Mann";0
"2014/15";"Berufsbildung allgemein";"Frau";0
"2014/15";"Logopädie";"Mann";0
"2014/15";"Logopädie";"Frau";0
"2014/15";"Psychomotoriktherapie";"Mann";0
"2014/15";"Psychomotoriktherapie";"Frau";0
"2014/15";"Heilpädagogik";"Mann";0
"2014/15";"Heilpädagogik";"Frau";0
"2014/15";"Fachdidaktik";"Mann";22
"2014/15";"Fachdidaktik";"Frau";32
"2014/15";"Lehrkräfteausbildung allgemein";"Mann";11
"2014/15";"Lehrkräfteausbildung allgemein";"Frau";6
"2013/14";"Vorschul- und Primarstufe";"Mann";285
"2013/14";"Vorschul- und Primarstufe";"Frau";1659
"2013/14";"Sekundarstufe I";"Mann";386
"2013/14";"Sekundarstufe I";"Frau";541
"2013/14";"Sekundarstufe I und II zusammen";"Mann";0
"2013/14";"Sekundarstufe I und II zusammen";"Frau";0
"2013/14";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2013/14";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2013/14";"Sekundarstufe II (Berufsbildung)";"Mann";163
"2013/14";"Sekundarstufe II (Berufsbildung)";"Frau";128
"2013/14";"Berufsbildung allgemein";"Mann";0
"2013/14";"Berufsbildung allgemein";"Frau";0
"2013/14";"Logopädie";"Mann";0
"2013/14";"Logopädie";"Frau";0
"2013/14";"Psychomotoriktherapie";"Mann";0
"2013/14";"Psychomotoriktherapie";"Frau";0
"2013/14";"Heilpädagogik";"Mann";0
"2013/14";"Heilpädagogik";"Frau";0
"2013/14";"Fachdidaktik";"Mann";16
"2013/14";"Fachdidaktik";"Frau";29
"2013/14";"Lehrkräfteausbildung allgemein";"Mann";9
"2013/14";"Lehrkräfteausbildung allgemein";"Frau";6
"2012/13";"Vorschul- und Primarstufe";"Mann";231
"2012/13";"Vorschul- und Primarstufe";"Frau";1474
"2012/13";"Sekundarstufe I";"Mann";310
"2012/13";"Sekundarstufe I";"Frau";492
"2012/13";"Sekundarstufe I und II zusammen";"Mann";0
"2012/13";"Sekundarstufe I und II zusammen";"Frau";0
"2012/13";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2012/13";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2012/13";"Sekundarstufe II (Berufsbildung)";"Mann";100
"2012/13";"Sekundarstufe II (Berufsbildung)";"Frau";63
"2012/13";"Berufsbildung allgemein";"Mann";0
"2012/13";"Berufsbildung allgemein";"Frau";0
"2012/13";"Logopädie";"Mann";0
"2012/13";"Logopädie";"Frau";0
"2012/13";"Psychomotoriktherapie";"Mann";0
"2012/13";"Psychomotoriktherapie";"Frau";0
"2012/13";"Heilpädagogik";"Mann";0
"2012/13";"Heilpädagogik";"Frau";0
"2012/13";"Fachdidaktik";"Mann";9
"2012/13";"Fachdidaktik";"Frau";14
"2012/13";"Lehrkräfteausbildung allgemein";"Mann";14
"2012/13";"Lehrkräfteausbildung allgemein";"Frau";12
"2011/12";"Vorschul- und Primarstufe";"Mann";149
"2011/12";"Vorschul- und Primarstufe";"Frau";1088
"2011/12";"Sekundarstufe I";"Mann";245
"2011/12";"Sekundarstufe I";"Frau";436
"2011/12";"Sekundarstufe I und II zusammen";"Mann";0
"2011/12";"Sekundarstufe I und II zusammen";"Frau";0
"2011/12";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Mann";0
"2011/12";"Sekundarstufe II (Gymnasiale Maturitätsschulen)";"Frau";0
"2011/12";"Sekundarstufe II (Berufsbildung)";"Mann";44
"2011/12";"Sekundarstufe II (Berufsbildung)";"Frau";21
"2011/12";"Berufsbildung allgemein";"Mann";0
"2011/12";"Berufsbildung allgemein";"Frau";0
"2011/12";"Logopädie";"Mann";0
"2011/12";"Logopädie";"Frau";0
"2011/12";"Psychomotoriktherapie";"Mann";0
"2011/12";"Psychomotoriktherapie";"Frau";0
"2011/12";"Heilpädagogik";"Mann";0
"2011/12";"Heilpädagogik";"Frau";0
"2011/12";"Fachdidaktik";"Mann";7
"2011/12";"Fachdidaktik";"Frau";8
"2011/12";"Lehrkräfteausbildung allgemein";"Mann";25
"2011/12";"Lehrkräfteausbildung allgemein";"Frau";23
"2010/11";"Vorschul- und Primarstufe";"Mann";135
