"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",43.4,56.6
"Fachmittelschule",75.9,24.1
"Informatikmittelschule",7.6,92.4
"Gymnasium",55.5,44.5
"Passerelle",48.3,51.7
"andere",50.5,49.5
