"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",55.6,44.4
"Fachmittelschule",80.5,19.5
"Informatikmittelschule",6.5,93.5
"Gymnasium",55.6,44.4
"Passerelle",47.5,52.5
"andere",51.1,48.9
