"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",56.2,43.8
"Fachmittelschule",79.2,20.8
"Informatikmittelschule",2.7,97.3
"Gymnasium",55.6,44.4
"Passerelle",44.4,55.6
"andere",49,51
