"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",45,55
"Fachmittelschule",77.2,22.8
"Informatikmittelschule",7.3,92.7
"Gymnasium",55.1,44.9
"Passerelle",50.9,49.1
"andere",50.4,49.6
