"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",50.2,49.8
"Fachmittelschule",79.8,20.2
"Informatikmittelschule",6.2,93.8
"Gymnasium",55.4,44.6
"Passerelle",50,50
"andere",50.6,49.4
