"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",42.6,57.4
"Fachmittelschule",75.6,24.4
"Informatikmittelschule",7.6,92.4
"Gymnasium",55.1,44.9
"Passerelle",49.2,50.8
"andere",49.7,50.3
