"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",51.9,48.1
"Fachmittelschule",83.2,16.8
"Informatikmittelschule",8.1,91.9
"Gymnasium",55.8,44.2
"Passerelle",46.9,53.1
"andere",49.4,50.6
