"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",47.2,52.8
"Fachmittelschule",79.8,20.2
"Informatikmittelschule",7.1,92.9
"Gymnasium",54.9,45.1
"Passerelle",52.4,47.6
"andere",50.2,49.8
