"Typ","Weiblich","Männlich"
"Diplommittelschule",0,0
"Handelsmittelschule",55.6,44.4
"Fachmittelschule",79.2,20.8
"Informatikmittelschule",3.8,96.2
"Gymnasium",55.5,44.5
"Passerelle",58.6,41.4
"andere",48.8,51.2
