Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
100,"Chemie- und Pharmatechnologe/-login EFZ",9,0.12,2,7
100,"Fachmann/-frau Kundendialog EFZ",9,0.12,7,2
100,"Restaurationsangestellte/r EBA",9,0.12,5,4
104,"Anlehre: Gastgewerbe, Hauswirtschaft",8,0.10,4,4
104,"Anlehre: Haustechnik",8,0.10,1,7
104,"Baupraktiker/in EBA",8,0.10,0,8
104,"Gestalter/in Werbetechnik EFZ",8,0.10,8,0
104,"Hotellerieangestellte/r EBA",8,0.10,8,0
104,"Lebensmitteltechnologe/-login",8,0.10,2,6
104,"Polygraf/in (Mediengestaltung) EFZ",8,0.10,5,3
104,"Polygraf/in (Medienproduktion) EFZ",8,0.10,4,4
104,"Tierpfleger/in EFZ",8,0.10,7,1
104,"Zweiradmechaniker/in (Kleinmotorräder)",8,0.10,0,8
114,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",7,0.09,4,3
114,"Gipser/in",7,0.09,0,7
114,"Metallbaupraktiker/in EBA",7,0.09,0,7
114,"Zweiradmechaniker/in (Fahrräder)",7,0.09,0,7
118,"Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft",6,0.08,0,6
118,"Anlehre: Verkauf",6,0.08,2,4
118,"Florist/in EBA",6,0.08,6,0
118,"Gärtner/in (Zierpflanzen)",6,0.08,5,1
118,"Gebäudetechnikplaner/in Sanitär EFZ",6,0.08,4,2
118,"Kosmetiker/in EFZ",6,0.08,6,0
118,"Physiklaborant/in",6,0.08,1,5
118,"Zeichner/in (Innenarchitektur) EFZ",6,0.08,0,6
118,"Zeichner/in (Landschaftsarchitektur) EFZ",6,0.08,3,3
127,"Fachmann/-frau Information u. Dokumentation EFZ",5,0.06,2,3
127,"Fahrzeugschlosser/in EFZ",5,0.06,0,5
127,"Gebäudereiniger/in EFZ",5,0.06,0,5
127,"Haustechnikplaner/in (Kälte)",5,0.06,1,4
127,"Industrielackierer/in EFZ",5,0.06,1,4
127,"Kältesystem-Monteur/-in EFZ",5,0.06,1,4
127,"Podologe/-login EFZ",5,0.06,4,1
127,"Recyclist/in EFZ",5,0.06,0,5
135,"Anlehre: Übrige Berufe",4,0.05,2,2
135,"Fahrradmechaniker/-in EFZ",4,0.05,0,4
135,"Gärtner/in (Baumschule)",4,0.05,0,4
135,"Gärtner/-in EBA (Pflanzenproduktion)",4,0.05,2,2
135,"Gebäudereiniger/in EBA",4,0.05,0,4
135,"Kunststofftechnologe/-login EFZ",4,0.05,0,4
135,"Plattenleger/in EFZ",4,0.05,0,4
135,"Polybauer/in (Sonnenschutzsysteme) EFZ",4,0.05,0,4
135,"Veranstaltungsfachmann/-frau EFZ",4,0.05,1,3
144,"Anlehre: Baugewerbe, Malerei",3,0.04,1,2
144,"Anlehre: Holzbearbeitung",3,0.04,0,3
144,"Anlehre: Postangestellte/r",3,0.04,2,1
144,"Architekturmodellbauer/in",3,0.04,1,2
144,"Bootfachwart/in",3,0.04,0,3
144,"Fleischfachassistent/in EBA",3,0.04,0,3
144,"Gärtner/in (Stauden)",3,0.04,2,1
144,"Grafiker/in EFZ",3,0.04,3,0
144,"Motorgerätemechaniker/in EFZ",3,0.04,0,3
144,"Oberflächenpraktiker/in EBA",3,0.04,0,3
144,"Plattenlegerpraktiker/in EBA",3,0.04,0,3
144,"Winzer/in EFZ",3,0.04,1,2
156,"Anlehre: Büro, Verwaltung",2,0.03,0,2
156,"Anlehre: Bürogehilfe/In",2,0.03,0,2
156,"Anlehre: Fahrzeuge",2,0.03,0,2
156,"Anlehre: Metallbearbeitung, Maschinenbau",2,0.03,0,2
156,"Anlehre: Nahrungsmittel und Getränke",2,0.03,2,0
156,"Carrosseriesattler/in",2,0.03,0,2
156,"Feinwerkoptiker/in",2,0.03,0,2
156,"Glaser/in EFZ",2,0.03,0,2
156,"Kaminfeger/in EFZ",2,0.03,1,1
156,"Lüftungsanlagenbauer/in EFZ",2,0.03,0,2
156,"Oberflächenbeschichter/in EFZ",2,0.03,0,2
156,"Orthopädie-Schuhmacher/in EFZ",2,0.03,1,1
156,"Orthopädist/in EFZ",2,0.03,1,1
156,"Systemgastronomiefachmann/-frau EFZ",2,0.03,1,1
156,"Textiltechnologe/-login (Design) EFZ",2,0.03,2,0
156,"Uhrmacher Praktiker/in",2,0.03,1,1
156,"Uhrmacher/in (Industrie)",2,0.03,0,2
156,"Weintechnologe/-login EFZ",2,0.03,1,1
174,"Anlehre: Blumenbinder/in",1,0.01,1,0
174,"Anlehre: Fahrzeugmaler/in",1,0.01,0,1
174,"Anlehre: Grafisches Gewerbe",1,0.01,0,1
174,"Anlehre: INSOS Pra",1,0.01,0,1
174,"Anlehre: Malerei",1,0.01,1,0
174,"Anlehre: Technische Berufe",1,0.01,0,1
174,"Bekleidungsgestalter/in (Modisterei)",1,0.01,1,0
174,"Bekleidungsgestalter/in (Pelznähen)",1,0.01,1,0
174,"Bootbauer/in",1,0.01,0,1
174,"Fachmann/-frau für med. techn. Radiologie",1,0.01,0,1
174,"Flexodrucker/in EFZ",1,0.01,0,1
174,"Formenbauer/in EFZ (Techn. Modellbauer/in)",1,0.01,0,1
174,"Goldschmied/in (Edelsteinfassen) EFZ",1,0.01,1,0
174,"Goldschmied/in (Goldschmieden) EFZ",1,0.01,1,0
174,"Grundbaupraktiker/in EBA",1,0.01,0,1
174,"Gussformer/in",1,0.01,0,1
174,"Holzbearbeiter/in EBA",1,0.01,0,1
174,"Holzhandwerker/in EFZ (Drechslerei)",1,0.01,0,1
174,"Laborant/in (Farbe und Lack) EFZ",1,0.01,1,0
174,"Lackierassisten/in EBA",1,0.01,0,1
174,"Milchtechnologe/-login EFZ",1,0.01,0,1
174,"Müller/-in EFZ",1,0.01,0,1
174,"Multimediagestalter/in",1,0.01,1,0
174,"Ofenbauer/in EFZ",1,0.01,0,1
174,"Pferdefachmann/-frau (Klassisches Reiten) EFZ",1,0.01,1,0
174,"Pferdefachmann/-frau (Pferdepflege) EFZ",1,0.01,1,0
174,"Pferdefachmann/-frau (Westernreiten) EFZ",1,0.01,1,0
174,"Pferdewart/in EBA",1,0.01,1,0
174,"Polybauer/in (Abdichten) EFZ",1,0.01,0,1
174,"Polybaupraktiker/in EBA",1,0.01,0,1
174,"Printmedienpraktiker/-in EBA",1,0.01,1,0
174,"Printmedienverarbeiter/in (Bindetechnik) EFZ",1,0.01,1,0
174,"Printmedienverarbeiter/in (Buchbinderei) EFZ",1,0.01,0,1
174,"Printmedienverarbeiter/in (Druckausrüstung) EFZ",1,0.01,0,1
174,"Steinbildhauer/in EFZ",1,0.01,0,1
174,"Steinmetz/in EFZ",1,0.01,0,1
174,"Textiltechnologe/-login (Verarbeitung) EFZ",1,0.01,1,0
174,"Uhrmacher/in (Rhabillage)",1,0.01,1,0
174,"Verkehrswegbauer/in: Gleisbauer/in",1,0.01,0,1
174,"Verkehrswegbauer/in: Pflästerer/in",1,0.01,0,1
