Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
101,"Metallbaupraktiker/in EBA",8,0.10,0,8
101,"Reifenpraktiker/in EBA",8,0.10,0,8
107,"Physiklaborant/in",7,0.09,1,6
107,"Restaurationsangestellte/r EBA",7,0.09,5,2
107,"Schreinerpraktiker/in EBA",7,0.09,0,7
110,"Anlehre: Haustechnik",6,0.08,0,6
110,"Anlehre: INSOS Pra",6,0.08,2,4
110,"Anlehre: Verkauf",6,0.08,3,3
110,"Bühnentänzer/in EFZ",6,0.08,3,3
110,"Telematiker/in EFZ",6,0.08,0,6
110,"Verkehrswegbauer/in: Strassenbauer/in",6,0.08,0,6
110,"Zweiradmechaniker/in (Fahrräder)",6,0.08,1,5
117,"Baupraktiker/in EBA",5,0.06,0,5
117,"Innendekorateur/in",5,0.06,4,1
117,"Kaminfeger/in EFZ",5,0.06,1,4
117,"Motorgerätemechaniker/in EFZ",5,0.06,0,5
117,"Plattenleger/in EFZ",5,0.06,0,5
117,"Podologe/-login EFZ",5,0.06,5,0
117,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",5,0.06,4,1
117,"Strassentransportfachmann/-frau EFZ",5,0.06,0,5
125,"Agrarpraktiker/in EBA",4,0.05,0,4
125,"Buchhändler/in EFZ",4,0.05,4,0
125,"Chemie- und Pharmatechnologe/-login EFZ",4,0.05,2,2
125,"Florist/in EBA",4,0.05,4,0
125,"Gebäudereiniger/in EFZ",4,0.05,0,4
125,"Haustechnikplaner/in (Kälte)",4,0.05,0,4
125,"Industrielackierer/in EFZ",4,0.05,1,3
125,"Kältesystem-Monteur/-in EFZ",4,0.05,0,4
125,"Lackierassisten/in EBA",4,0.05,0,4
125,"Lastwagenführer/in",4,0.05,1,3
125,"Polybauer/in (Dachdecken) EFZ",4,0.05,1,3
125,"Polybauer/in (Fassadenbau) EFZ",4,0.05,0,4
125,"Strassenbaupraktiker/in EBA",4,0.05,0,4
125,"Veranstaltungsfachmann/-frau EFZ",4,0.05,1,3
125,"Zeichner/in (Innenarchitektur) EFZ",4,0.05,3,1
125,"Zeichner/in (Raumplanung) EFZ",4,0.05,1,3
141,"Anlagenführer/in EFZ",3,0.04,0,3
141,"Anlehre: Büro, Verwaltung",3,0.04,2,1
141,"Anlehre: Bürogehilfe/In",3,0.04,3,0
141,"Anlehre: Körperpflege",3,0.04,3,0
141,"Anlehre: Nahrungsmittel und Getränke",3,0.04,1,2
141,"Anlehre: Übrige Berufe",3,0.04,1,2
141,"Architekturmodellbauer/in",3,0.04,3,0
141,"Bekleidungsnäher/in EBA",3,0.04,3,0
141,"Bootbauer/in",3,0.04,0,3
141,"Fleischfachassistent/in EBA",3,0.04,0,3
141,"Flexodrucker/in EFZ",3,0.04,0,3
141,"Gärtner/in (Stauden)",3,0.04,2,1
141,"Gipser/in",3,0.04,0,3
141,"Grafiker/in EFZ",3,0.04,2,1
141,"Metallbaukonstrukteur/in EFZ",3,0.04,0,3
141,"Pferdefachmann/-frau (Pferdepflege) EFZ",3,0.04,3,0
141,"Pferdefachmann/-frau EFZ",3,0.04,2,1
141,"Plattenlegerpraktiker/in EBA",3,0.04,0,3
141,"Polybaupraktiker/in EBA",3,0.04,0,3
141,"Recyclist/in EFZ",3,0.04,0,3
141,"Tierpfleger/in EFZ",3,0.04,3,0
141,"Uhrmacher/in (Industrie)",3,0.04,0,3
141,"Verkehrswegbauer/in: Gleisbauer/in",3,0.04,0,3
164,"Anlehre: Fahrzeuge",2,0.03,0,2
164,"Anlehre: Malerei",2,0.03,0,2
164,"Entwässerungstechnologe/-technologin EFZ",2,0.03,0,2
164,"Fachmann/-frau Leder und Textil EFZ",2,0.03,2,0
164,"Fahrzeugschlosser/in EFZ",2,0.03,0,2
164,"Gipser/in und Maler/in",2,0.03,0,2
164,"Holzbearbeiter/in EBA",2,0.03,0,2
164,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",2,0.03,0,2
164,"Oberflächenbeschichter/in EFZ",2,0.03,0,2
164,"Orthopädist/in EFZ",2,0.03,1,1
164,"Printmedienverarbeiter/in (Buchbinderei) EFZ",2,0.03,1,1
164,"Textilpfleger/in EFZ",2,0.03,1,1
164,"Winzer/in EFZ",2,0.03,0,2
177,"Anlehre: Baugewerbe, Malerei",1,0.01,0,1
177,"Anlehre: Carrosseriereparateur/in",1,0.01,0,1
177,"Anlehre: Holzbearbeitung",1,0.01,0,1
177,"Anlehre: Postangestellte/r",1,0.01,0,1
177,"Anlehre: Reinigung",1,0.01,0,1
177,"Anlehre: Technische Berufe",1,0.01,0,1
177,"Bootfachwart/in",1,0.01,0,1
177,"Feinwerkoptiker/in",1,0.01,0,1
177,"Formenbauer/in EFZ (Techn. Modellbauer/in)",1,0.01,0,1
177,"Formenpraktiker/in EBA",1,0.01,1,0
177,"Forstpraktiker/-in EBA",1,0.01,0,1
177,"Gärtner/in (Baumschule)",1,0.01,0,1
177,"Glaser/in EFZ",1,0.01,0,1
177,"Gleisbaupraktiker/in EBA",1,0.01,0,1
177,"Grundbaupraktiker/in EBA",1,0.01,0,1
177,"Gusstechnologe/-login EFZ",1,0.01,0,1
177,"Holzhandwerker/in EFZ (Drechslerei)",1,0.01,1,0
177,"Industriekeramiker/in EFZ",1,0.01,0,1
177,"Isolierspengler/in EFZ",1,0.01,0,1
177,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",1,0.01,0,1
177,"Kunststoffverarbeiter/in EBA",1,0.01,0,1
177,"Milchtechnologe/-login EFZ",1,0.01,0,1
177,"Müller/-in EFZ",1,0.01,0,1
177,"Oberflächenpraktiker/in EBA",1,0.01,0,1
177,"Ofenbauer/in EFZ",1,0.01,0,1
177,"Orthopädie-Schuhmacher/in EFZ",1,0.01,0,1
177,"Pferdefachmann/-frau (Klassisches Reiten) EFZ",1,0.01,1,0
177,"Pferdefachmann/-frau (Westernreiten) EFZ",1,0.01,1,0
177,"Pferdewart/in EBA",1,0.01,1,0
177,"Polybauer/in (Abdichten) EFZ",1,0.01,0,1
177,"Printmedienpraktiker/-in EBA",1,0.01,0,1
177,"Printmedienverarbeiter/in (Druckausrüstung) EFZ",1,0.01,1,0
177,"Säger/in Holzindustrie EFZ",1,0.01,0,1
177,"Steinbildhauer/in EFZ",1,0.01,1,0
177,"Steinwerker/in EFZ",1,0.01,0,1
177,"Wohntextilgestalter/in EFZ",1,0.01,1,0
177,"Zeichner/in (Landschaftsarchitektur) EFZ",1,0.01,0,1
177,"Zinngiesser/in",1,0.01,0,1
177,"Zweiradmechaniker/in (Kleinmotorräder)",1,0.01,0,1
