Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7796,100.00,3570,4226
1,"Kaufmann/Kauffrau Erw. Grundbildung (E-Profil)",1524,19.55,932,592
2,"Detailhandelsfachmann/-frau Beratung EFZ",446,5.72,257,189
3,"Fachmann/-frau Gesundheit EFZ",398,5.11,347,51
4,"Elektroinstallateur/in EFZ",333,4.27,6,327
5,"Fachmann/-frau Betreuung (Kinderbetreuung) EFZ",288,3.69,260,28
6,"Polymechaniker/in EFZ",204,2.62,6,198
7,"Kaufmann/Kauffrau Basisbildung (B-Profil)",197,2.53,122,75
8,"Koch/Köchin EFZ",176,2.26,58,118
9,"Logistiker/in EFZ",166,2.13,16,150
10,"Dentalassistent/in EFZ",163,2.09,155,8
11,"Med. Praxisassistent/in EFZ",153,1.96,150,3
12,"Detailhandelsassistent/in EBA",145,1.86,94,51
13,"Zeichner/in (Architektur) EFZ",118,1.51,42,76
14,"Pharma-Assistent/in EFZ",112,1.44,111,1
15,"Automobil-Fachmann/-frau (Personenwagen) EFZ",108,1.39,2,106
16,"Fachmann/-frau Betriebsunterhalt EFZ",102,1.31,1,101
17,"Coiffeur/-euse EFZ",97,1.24,83,14
17,"Detailhandelsfachmann/-frau  Bewirtschaftung EFZ",97,1.24,50,47
19,"Sanitärinstallateur/in EFZ",94,1.21,1,93
20,"Automatiker/in EFZ",91,1.17,2,89
20,"Schreiner/in EFZ (Möbel/Innenausbau)",91,1.17,20,71
22,"Konstrukteur/in EFZ",90,1.15,14,76
23,"Informatiker/in (Systemtechnik) EFZ",89,1.14,1,88
24,"Informatiker/in (Applikationsentwicklung) EFZ",88,1.13,6,82
25,"Zimmermann/Zimmerin EFZ",85,1.09,0,85
26,"Maurer/in EFZ",79,1.01,0,79
27,"Automobil-Mechatroniker/in (Personenwagen) EFZ",78,1.00,1,77
28,"Assistent/in Gesundheit und Soziales EBA",76,0.97,64,12
29,"Maler/in",65,0.83,35,30
30,"Informatiker/in  EFZ",64,0.82,8,56
31,"Hotelfachmann/-frau EFZ",62,0.80,52,10
32,"Elektroniker/in EFZ",61,0.78,3,58
33,"Gärtner/in (Garten- u. Landschaftsbau)",59,0.76,4,55
34,"Zeichner/in (Ingenieurbau) EFZ",56,0.72,19,37
35,"Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ",51,0.65,47,4
35,"Restaurationsfachmann/-frau EFZ",51,0.65,35,16
37,"Augenoptiker/in EFZ",46,0.59,35,11
38,"Montage-Elektriker/in EFZ",43,0.55,0,43
39,"Coiffeur/-euse EBA",41,0.53,35,6
39,"Elektroplaner/in EFZ",41,0.53,7,34
41,"Heizungsinstallateur/in EFZ",40,0.51,1,39
42,"Bäcker-Konditor-Confiseur/-in EFZ",36,0.46,26,10
42,"Mediamatiker/in EFZ",36,0.46,7,29
44,"Drogist/in EFZ",35,0.45,31,4
45,"Produktionsmechaniker/in EFZ",34,0.44,2,32
46,"Florist/in EFZ",33,0.42,33,0
47,"Informatiker/in (Betriebsinformatik) EFZ",31,0.40,3,28
48,"Anlagen- und Apparatebauer/in",29,0.37,0,29
49,"Landmaschinenmechaniker/in EFZ",28,0.36,0,28
49,"Landwirt/in EFZ",28,0.36,5,23
51,"Geomatiker/in EFZ",26,0.33,8,18
52,"Gärtner/-in EBA (Garten-und Landschaftsbau)",25,0.32,1,24
52,"Logistiker/in EBA",25,0.32,3,22
52,"Tiermed. Praxisassistent/in EFZ",25,0.32,24,1
55,"Büroassistent/in EBA",24,0.31,18,6
55,"Laborant/in (Chemie) EFZ",24,0.31,11,13
57,"Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ",23,0.30,0,23
57,"Drucktechnologe/-login EFZ",23,0.30,5,18
57,"Fachmann/-frau Betreuung (Generalist. Ausb.) EFZ",23,0.30,21,2
57,"Metallbauer/in EFZ",23,0.30,1,22
61,"Automobil-Assistent/in EBA",21,0.27,2,19
61,"Schreiner/in EFZ (Bau/Fenster)",21,0.27,2,19
63,"Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ",20,0.26,1,19
63,"Fachmann/-frau Betreuung (Behindertenbetreung) EFZ",20,0.26,16,4
63,"Gebäudetechnikplaner/in Heizung EFZ",20,0.26,6,14
66,"Bekleidungsgestalter/in EFZ",19,0.24,18,1
66,"Fachmann/-frau Hauswirtschaft EFZ",19,0.24,19,0
66,"Gebäudetechnikplaner/in Lüftung EFZ",19,0.24,0,19
66,"Haustechnikpraktiker/in EBA",19,0.24,1,18
70,"Carrossier/in Spenglerei EFZ",18,0.23,0,18
70,"Forstwart/in EFZ",18,0.23,1,17
72,"Carrossier/in Lackiererei EFZ",17,0.22,2,15
73,"Automatikmonteur/in EFZ",16,0.21,0,16
73,"Spengler/in EFZ",16,0.21,0,16
75,"Polygraf/in  EFZ",15,0.19,10,5
76,"Netzelektriker/in EFZ",14,0.18,0,14
77,"Gestalter/in Werbetechnik EFZ",13,0.17,5,8
77,"Systemgastronomiefachmann/-frau EFZ",13,0.17,9,4
79,"Anlehre: Gastgewerbe, Hauswirtschaft",12,0.15,9,3
79,"Bäcker-Konditor-Confiseur/-in EBA",12,0.15,6,6
79,"Baumaschinenmechaniker/in EFZ",12,0.15,0,12
79,"Fachmann/-frau Kundendialog EFZ",12,0.15,7,5
79,"Hauswirtschaftspraktiker/in EBA",12,0.15,10,2
79,"Kosmetiker/in EFZ",12,0.15,12,0
79,"Multimediaelektroniker/in EFZ",12,0.15,0,12
86,"Fleischfachmann/-frau EFZ",11,0.14,4,7
86,"Fotofachmann/-frau EFZ (Fotografie)",11,0.14,8,3
86,"Informatikpraktiker/in EBA",11,0.14,2,9
86,"Lebensmitteltechnologe/-login",11,0.14,2,9
90,"Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft",10,0.13,3,7
90,"Boden-Parkettleger/in EFZ",10,0.13,0,10
90,"Laborant/in (Biologie) EFZ",10,0.13,4,6
93,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",9,0.12,5,4
93,"Fachmann/-frau Information u. Dokumentation EFZ",9,0.12,7,2
93,"Fahrradmechaniker/-in EFZ",9,0.12,1,8
93,"Gärtner/in (Zierpflanzen)",9,0.12,8,1
93,"Hotellerieangestellte/r EBA",9,0.12,5,4
93,"Lüftungsanlagenbauer/in EFZ",9,0.12,0,9
93,"Motorradmechaniker/in EFZ",9,0.12,4,5
93,"Zahntechniker/in EFZ",9,0.12,3,6
101,"Gebäudetechnikplaner/in Sanitär EFZ",8,0.10,3,5
101,"Küchenangestellte/r EBA",8,0.10,4,4
101,"Kunststofftechnologe/-login EFZ",8,0.10,1,7
101,"Mechanikpraktiker/in EBA",8,0.10,1,7
