Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7723,100.00,3429,4294
1,"Kaufmann/-frau EFZ Erweiterte Grundbildung",1379,17.86,811,568
2,"Detailhandelsfachmann/-frau EFZ",540,6.99,259,281
3,"Fachmann/-frau Gesundheit EFZ",440,5.70,379,61
4,"Fachmann/-frau Betreuung EFZ",416,5.39,357,59
5,"Kaufmann/-frau EFZ Basis-Grundbildung",306,3.96,161,145
6,"Informatiker/in EFZ",296,3.83,23,273
7,"Elektroinstallateur/in EFZ",260,3.37,2,258
8,"Polymechaniker/in EFZ",191,2.47,9,182
9,"Logistiker/in EFZ",179,2.32,14,165
10,"Zeichner/in EFZ",176,2.28,62,114
11,"Dentalassistent/in EFZ",169,2.19,169,0
12,"Koch/Köchin EFZ",168,2.18,52,116
13,"Medizinische Praxisassistent/in EFZ",165,2.14,164,1
14,"Automobil-Fachmann/-frau EFZ",134,1.74,2,132
15,"Coiffeur/-euse EFZ",133,1.72,115,18
16,"Pharma-Assistent/in EFZ",120,1.55,115,5
17,"Fachmann/-frau Betriebsunterhalt EFZ",117,1.51,2,115
18,"Detailhandelsassistent/in EBA",112,1.45,56,56
19,"Schreiner/in EFZ",104,1.35,10,94
20,"Zimmermann/Zimmerin EFZ",91,1.18,1,90
21,"Sanitärinstallateur/in EFZ",90,1.17,0,90
22,"Automatiker/in EFZ",81,1.05,9,72
22,"Konstrukteur/in EFZ",81,1.05,8,73
24,"Automobil-Mechatroniker/in EFZ",79,1.02,2,77
24,"Maler/in EFZ",79,1.02,31,48
26,"Gärtner/in EFZ",76,0.98,11,65
27,"Montage-Elektriker/in EFZ",71,0.92,1,70
28,"Assistent/in Gesundheit und Soziales EBA",67,0.87,53,14
29,"Maurer/in EFZ",63,0.82,0,63
30,"Elektroniker/in EFZ",62,0.80,10,52
31,"Hotelfachmann/-frau EFZ",61,0.79,48,13
32,"Bäcker/in-Konditor/in-Confiseur/in EFZ",54,0.70,34,20
33,"Restaurationsfachmann/-frau EFZ",48,0.62,32,16
34,"Metallbauer/in EFZ",42,0.54,1,41
35,"Laborant/in EFZ",41,0.53,22,19
36,"Drogist/in EFZ",40,0.52,38,2
37,"Augenoptiker/in EFZ",36,0.47,27,9
38,"Elektroplaner/in EFZ",34,0.44,4,30
39,"Heizungsinstallateur/in EFZ",32,0.41,0,32
40,"Produktionsmechaniker/in EFZ",28,0.36,2,26
41,"Florist/in EFZ",27,0.35,27,0
41,"Mediamatiker/in EFZ",27,0.35,9,18
43,"Büroassistent/in EBA",24,0.31,14,10
44,"Carrossier/in Spenglerei EFZ",23,0.30,1,22
44,"Forstwart/in EFZ",23,0.30,1,22
46,"Tiermed. Praxisassistent/in EFZ",21,0.27,20,1
47,"Bekleidungsgestalter/in EFZ",20,0.26,20,0
47,"Carrossier/in Lackiererei EFZ",20,0.26,2,18
47,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",20,0.26,14,6
47,"Logistiker/in EBA",20,0.26,1,19
51,"Fachmann/Fachfrau Hauswirtschaft EFZ",19,0.25,18,1
