Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
51,"Haustechnikpraktiker/in EBA",19,0.25,0,19
53,"Baumaschinenmechaniker/in EFZ",18,0.23,1,17
53,"Coiffeur/-euse EBA",18,0.23,14,4
53,"Fotofachmann/-frau EFZ",18,0.23,14,4
53,"Geomatiker/in EFZ",18,0.23,7,11
53,"Landmaschinenmechaniker/in EFZ",18,0.23,0,18
58,"Automatikmonteur/in EFZ",17,0.22,1,16
58,"Multimediaelektroniker/in EFZ",17,0.22,0,17
60,"Anlagen- und Apparatebauer/in EFZ",16,0.21,1,15
60,"Landwirt/in EFZ",16,0.21,2,14
62,"Gärtner/in EBA",15,0.19,3,12
62,"Gebäudetechnikplaner/in Heizung EFZ",15,0.19,2,13
62,"Gestalter/in Werbetechnik EFZ",15,0.19,9,6
62,"Hauswirtschaftspraktiker/in EBA",15,0.19,13,2
62,"Reifenpraktiker/in EBA",15,0.19,1,14
62,"Spengler/in EFZ",15,0.19,0,15
62,"Strassentransportfachmann/-frau EFZ",15,0.19,0,15
69,"Gebäudetechnikplaner/in Lüftung EFZ",14,0.18,2,12
69,"Polygraf/in EFZ",14,0.18,7,7
71,"Automobil-Assistent/in EBA",13,0.17,0,13
71,"Boden-Parkettleger/in EFZ",13,0.17,0,13
71,"Drucktechnologe/-login EFZ",13,0.17,4,9
71,"Fachmann/-frau Kundendialog EFZ",13,0.17,8,5
71,"Kosmetiker/in EFZ",13,0.17,13,0
71,"Schreinerpraktiker/in EBA",13,0.17,1,12
71,"Systemgastronomiefachmann/-frau EFZ",13,0.17,6,7
78,"Lebensmitteltechnologe/-login EFZ",12,0.16,2,10
78,"Motorradmechaniker/in EFZ",12,0.16,1,11
78,"Netzelektriker/in EFZ",12,0.16,0,12
78,"Polybauer/in EFZ",12,0.16,0,12
82,"Fahrradmechaniker/in EFZ",11,0.14,3,8
82,"Strassenbauer/in EFZ",11,0.14,0,11
84,"Fachmann/-frau öffentlicher Verkehr EFZ",10,0.13,1,9
84,"Informatikpraktiker/in EBA",10,0.13,1,9
84,"Malerpraktiker/in EBA",10,0.13,0,10
87,"Fachmann/-frau Information u. Dokumentation EFZ",9,0.12,6,3
87,"Fleischfachmann/-frau EFZ",9,0.12,1,8
87,"Gebäudetechnikplaner/in Sanitär EFZ",9,0.12,1,8
87,"Küchenangestellte/r EBA",9,0.12,2,7
87,"Tierpfleger/in EFZ",9,0.12,6,3
87,"Zahntechniker/in EFZ",9,0.12,6,3
93,"Buchhändler/in EFZ",8,0.10,5,3
93,"Gipser/in-Trockenbauer/in EFZ",8,0.10,0,8
93,"Hotellerieangestellte/r EBA",8,0.10,6,2
93,"Strassenbaupraktiker/in EBA",8,0.10,0,8
93,"Unterhaltspraktiker/in EBA",8,0.10,0,8
98,"Agrarpraktiker/in EBA",7,0.09,1,6
98,"Chemie- und Pharmatechnologe/-login EFZ",7,0.09,2,5
98,"Gebäudereiniger/in EFZ",7,0.09,1,6
98,"Kunststofftechnologe/-login EFZ",7,0.09,2,5
98,"Motorgerätemechaniker/in EFZ",7,0.09,0,7
98,"Plattenleger/in EFZ",7,0.09,0,7
104,"Bäcker/in-Konditor/in-Confiseur/in EBA",6,0.08,3,3
104,"Restaurationsangestellte/r EBA",6,0.08,5,1
106,"Gipser/in und Maler/in",5,0.06,0,5
106,"Gleisbauer/in EFZ",5,0.06,0,5
106,"Holzbearbeiter/in EBA",5,0.06,1,4
106,"Lackierassisten/in EBA",5,0.06,0,5
106,"Metallbaupraktiker/in EBA",5,0.06,0,5
106,"Pferdefachmann/-frau EFZ",5,0.06,4,1
106,"Physiklaborant/in EFZ",5,0.06,1,4
106,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",5,0.06,2,3
106,"Telematiker/in EFZ",5,0.06,0,5
115,"Baupraktiker/in EBA",4,0.05,0,4
115,"Gebäudereiniger/in EBA",4,0.05,0,4
115,"Goldschmied/in EFZ",4,0.05,2,2
115,"Grafiker/in EFZ",4,0.05,0,4
115,"Kältesystem-Monteur/in EFZ",4,0.05,0,4
115,"Lüftungsanlagenbauer/in EFZ",4,0.05,0,4
115,"Mechanikpraktiker/in EBA",4,0.05,0,4
115,"Podologe/-login EFZ",4,0.05,3,1
115,"Polybaupraktiker/in EBA",4,0.05,0,4
115,"Veranstaltungsfachmann/-frau EFZ",4,0.05,1,3
125,"Fahrzeugschlosser/in EFZ",3,0.04,0,3
125,"Fleischfachassistent/in EBA",3,0.04,1,2
125,"Innendekorateur/in",3,0.04,3,0
125,"Kaminfeger/in EFZ",3,0.04,0,3
125,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",3,0.04,1,2
125,"Metallbaukonstrukteur/in EFZ",3,0.04,0,3
125,"Oberflächenbeschichter/in EFZ",3,0.04,0,3
125,"Recyclist/in EFZ",3,0.04,0,3
125,"Uhrmacher/in EFZ",3,0.04,1,2
125,"Wohntextilgestalter/in EFZ",3,0.04,3,0
135,"Architekturmodellbauer/in",2,0.03,1,1
135,"Bauwerktrenner/in EFZ",2,0.03,0,2
135,"Bootbauer/in EFZ",2,0.03,0,2
135,"Bühnentänzer/in EFZ",2,0.03,1,1
135,"Entwässerungstechnologe/-technologin EFZ",2,0.03,0,2
135,"Florist/in EBA",2,0.03,2,0
135,"Gemüsegärtner/in EFZ",2,0.03,0,2
135,"Gleisbaupraktiker/in EBA",2,0.03,0,2
135,"Industrielackierer/in EFZ",2,0.03,0,2
135,"Messerschmied/in EFZ",2,0.03,2,0
135,"Ofenbauer/in EFZ",2,0.03,0,2
135,"Orthopädie-Schuhmacher/in EFZ",2,0.03,1,1
135,"Orthopädist/in EFZ",2,0.03,2,0
135,"Pferdewart/in EBA",2,0.03,1,1
135,"Plattenlegerpraktiker/in EBA",2,0.03,0,2
135,"Seilbahn-Mechatroniker/in EFZ",2,0.03,0,2
151,"Anlagenführer/in EFZ",1,0.01,0,1
151,"Bootfachwart/in EFZ",1,0.01,0,1
151,"Büchsenmacher/in EFZ",1,0.01,0,1
151,"Fachmann/-frau Leder und Textil EFZ",1,0.01,0,1
151,"Gipserpraktiker/in EBA",1,0.01,0,1
151,"Hörsystemakustiker/in EFZ",1,0.01,1,0
151,"Hufschmied/in EFZ",1,0.01,0,1
151,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",1,0.01,0,1
151,"Interactive Media Designer EFZ",1,0.01,0,1
151,"Isolierspengler/in EFZ",1,0.01,0,1
151,"Lebensmittelpraktiker/in EBA",1,0.01,0,1
151,"Milchtechnologe/-login EFZ",1,0.01,1,0
151,"Obstfachmann/-fachfrau EFZ",1,0.01,0,1
151,"Printmedienpraktiker/in EBA",1,0.01,0,1
151,"Printmedienverarbeiter/in EFZ",1,0.01,1,0
151,"Säger/in Holzindustrie EFZ",1,0.01,0,1
151,"Schauspieler/in",1,0.01,1,0
151,"Steinmetz/in EFZ",1,0.01,1,0
151,"Strassentransportpraktiker/in EBA",1,0.01,0,1
151,"Tänzer/in",1,0.01,1,0
151,"Textiltechnologe/-login EFZ",1,0.01,1,0
151,"Verpackungstechnologe/-login EFZ",1,0.01,1,0
151,"Weintechnologe/-login EFZ",1,0.01,1,0
151,"Winzer/in EFZ",1,0.01,0,1
