Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
93,"Telematiker/in EFZ",8,0.10,1,7
101,"Bäcker/in-Konditor/in-Confiseur/in EBA",7,0.09,3,4
101,"Gebäudereiniger/in EFZ",7,0.09,1,6
101,"Gebäudetechnikplaner/in Sanitär EFZ",7,0.09,1,6
101,"Lüftungsanlagenbauer/in EFZ",7,0.09,0,7
101,"Mechanikpraktiker/in EBA",7,0.09,0,7
101,"Systemgastronomiefachmann/-frau EFZ",7,0.09,4,3
107,"Anlehre: INSOS Pra",6,0.08,2,4
107,"Bäcker/in-Konditor/in",6,0.08,3,3
107,"Bekleidungsgestalter/in",6,0.08,6,0
107,"Florist/in EBA",6,0.08,6,0
107,"Hotellerieangestellte/r EBA",6,0.08,6,0
107,"Pferdefachmann/-frau EFZ",6,0.08,6,0
107,"Schreinerpraktiker/in EBA",6,0.08,1,5
107,"Strassenbaupraktiker/in EBA",6,0.08,0,6
107,"Tierpfleger/in EFZ",6,0.08,3,3
116,"Baupraktiker/in EBA",5,0.06,0,5
116,"Fachmann/-frau Information u. Dokumentation EFZ",5,0.06,5,0
116,"Gipser/in-Trockenbauer/in",5,0.06,0,5
116,"Haustechnikplaner/in",5,0.06,0,5
116,"Kältesystem-Monteur/in EFZ",5,0.06,0,5
116,"Konditor/in-Confiseur/in",5,0.06,2,3
116,"Podologe/-login EFZ",5,0.06,5,0
123,"Anlehre: Gastgewerbe, Hauswirtschaft",4,0.05,2,2
123,"Bühnentänzer/in EFZ",4,0.05,2,2
123,"Grafiker/in EFZ",4,0.05,2,2
123,"Industrielackierer/in EFZ",4,0.05,1,3
123,"Laborist/in",4,0.05,3,1
123,"Lastwagenführer/in",4,0.05,0,4
123,"Pferdewart/in EBA",4,0.05,4,0
123,"Veranstaltungsfachmann/-frau EFZ",4,0.05,2,2
123,"Wohntextilgestalter/in EFZ",4,0.05,2,2
132,"Anlehre: Baugewerbe, Malerei",3,0.04,0,3
132,"Anlehre: Büro, Verwaltung",3,0.04,3,0
132,"Anlehre: Fahrzeuge",3,0.04,0,3
132,"Bootbauer/in",3,0.04,1,2
132,"Gebäudereiniger/in EBA",3,0.04,0,3
132,"Gebäudetechnikplaner/in EFZ",3,0.04,0,3
132,"Glaser/in EFZ",3,0.04,0,3
132,"Goldschmied/in EFZ",3,0.04,2,1
132,"Kältesystem-Planer/in EFZ",3,0.04,0,3
132,"Metallbaupraktiker/in EBA",3,0.04,0,3
132,"Milchtechnologe/-login EFZ",3,0.04,0,3
132,"Orthopädist/in EFZ",3,0.04,2,1
132,"Physiklaborant/in EFZ",3,0.04,1,2
132,"Textiltechnologe/-login EFZ",3,0.04,0,3
132,"Zweiradmechaniker/in",3,0.04,0,3
147,"Anlehre: Haustechnik",2,0.03,0,2
147,"Anlehre: Holzbearbeitung",2,0.03,0,2
147,"Anlehre: Körperpflege",2,0.03,1,1
147,"Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft",2,0.03,0,2
147,"Anlehre: Malerei",2,0.03,0,2
147,"Anlehre: Metallbearbeitung, Maschinenbau",2,0.03,0,2
147,"Anlehre: Textil und Bekleidung",2,0.03,2,0
147,"Anlehre: Verkauf",2,0.03,2,0
147,"Büchsenmacher/in EFZ",2,0.03,1,1
147,"Chemie- und Pharmatechnologe/-login EFZ",2,0.03,0,2
147,"Entwässerungstechnologe/-technologin EFZ",2,0.03,0,2
147,"Gleisbauer/in EFZ",2,0.03,0,2
147,"Hufschmied/in EFZ",2,0.03,2,0
147,"Lackierassisten/in EBA",2,0.03,0,2
147,"Motorgerätemechaniker/in EFZ",2,0.03,0,2
147,"Multimediaelektroniker/in",2,0.03,0,2
147,"Netzelektriker/in",2,0.03,0,2
147,"Oberflächenbeschichter/in EFZ",2,0.03,2,0
147,"Orthopädie-Schuhmacher/in EFZ",2,0.03,1,1
147,"Printmedienpraktiker/in EBA",2,0.03,0,2
147,"Recyclist/in EFZ",2,0.03,0,2
147,"Weintechnologe/-login EFZ",2,0.03,0,2
147,"Zeichner/in (Innenarchitektur) EFZ",2,0.03,1,1
147,"Zeichner/in (Landschaftsarchitektur) EFZ",2,0.03,1,1
171,"Agrarpraktiker/in EBA",1,0.01,0,1
171,"Anlagen- und Apparatebauer/in",1,0.01,0,1
171,"Anlehre: Nahrungsmittel und Getränke",1,0.01,0,1
171,"Anlehre: Postangestellte/r",1,0.01,0,1
171,"Architekturmodellbauer/in",1,0.01,1,0
171,"Bootfachwart/in",1,0.01,0,1
171,"Fachmann/-frau Leder und Textil EFZ",1,0.01,1,0
171,"Fahrzeugschlosser/in EFZ",1,0.01,0,1
171,"Feinwerkoptiker/in EFZ",1,0.01,0,1
171,"Formenpraktiker/in EBA",1,0.01,0,1
171,"Fotograf/in EFZ",1,0.01,0,1
171,"Geflügelfachmann/-fachfrau EFZ",1,0.01,0,1
171,"Gemüsegärtner/in EFZ",1,0.01,0,1
171,"Gleisbaupraktiker/in EBA",1,0.01,0,1
171,"Industriekeramiker/in EFZ",1,0.01,1,0
171,"Kältemontage-Praktiker/in EBA",1,0.01,0,1
171,"Kältemonteur/in",1,0.01,0,1
171,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",1,0.01,0,1
171,"Lebensmitteltechnologe/-login",1,0.01,0,1
171,"Ofenbauer/in EFZ",1,0.01,0,1
171,"Polybaupraktiker/in EBA",1,0.01,0,1
171,"Steinmetz/in EFZ",1,0.01,0,1
171,"Strassentransportpraktiker/in EBA",1,0.01,0,1
171,"Verpackungstechnologe/-login EFZ",1,0.01,0,1
171,"Winzer/in EFZ",1,0.01,0,1
