Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7709,100.00,3447,4262
1,"Kaufmann/-frau EFZ Erweiterte Grundbildung",1267,16.44,742,525
2,"Detailhandelsfachmann/-frau EFZ",511,6.63,270,241
3,"Fachmann/-frau Gesundheit EFZ",468,6.07,408,60
4,"Fachmann/-frau Betreuung EFZ",381,4.94,328,53
5,"Kaufmann/-frau EFZ Basis-Grundbildung",373,4.84,216,157
6,"Elektroinstallateur/in EFZ",338,4.38,1,337
7,"Informatiker/in EFZ",286,3.71,26,260
8,"Polymechaniker/in EFZ",213,2.76,5,208
9,"Detailhandelsassistent/in EBA",178,2.31,105,73
10,"Koch/Köchin EFZ",175,2.27,52,123
11,"Dentalassistent/in EFZ",174,2.26,168,6
12,"Logistiker/in EFZ",155,2.01,10,145
13,"Medizinische Praxisassistent/in EFZ",140,1.82,138,2
14,"Automobil-Fachmann/-frau EFZ",134,1.74,4,130
15,"Coiffeur/-euse EFZ",114,1.48,104,10
16,"Zeichner/in EFZ",112,1.45,34,78
17,"Pharma-Assistent/in EFZ",109,1.41,106,3
18,"Schreiner/in EFZ",103,1.34,12,91
19,"Automatiker/in EFZ",97,1.26,2,95
20,"Automobil-Mechatroniker/in EFZ",90,1.17,2,88
21,"Konstrukteur/in EFZ",83,1.08,9,74
21,"Sanitärinstallateur/in EFZ",83,1.08,1,82
23,"Fachmann/-frau Betriebsunterhalt EFZ",79,1.02,4,75
24,"Assistent/in Gesundheit und Soziales EBA",74,0.96,62,12
25,"Zimmermann/Zimmerin EFZ",70,0.91,1,69
26,"Zeichner/in (Architektur) EFZ",67,0.87,23,44
27,"Gärtner/in EFZ",63,0.82,10,53
27,"Montage-Elektriker/in EFZ",63,0.82,1,62
29,"Maler/in",62,0.80,24,38
30,"Restaurationsfachmann/-frau EFZ",61,0.79,43,18
31,"Maurer/in EFZ",60,0.78,0,60
32,"Elektroniker/in EFZ",57,0.74,4,53
33,"Hotelfachmann/-frau EFZ",51,0.66,45,6
34,"Laborant/in EFZ",41,0.53,18,23
35,"Heizungsinstallateur/in EFZ",40,0.52,2,38
36,"Augenoptiker/in EFZ",38,0.49,25,13
37,"Metallbauer/in EFZ",37,0.48,1,36
38,"Drogist/in EFZ",34,0.44,31,3
39,"Tiermed. Praxisassistent/in EFZ",31,0.40,28,3
40,"Produktionsmechaniker/in EFZ",29,0.38,0,29
41,"Mediamatiker/in EFZ",28,0.36,13,15
42,"Bekleidungsgestalter/in EFZ",27,0.35,26,1
42,"Landwirt/in EFZ",27,0.35,2,25
44,"Bäcker/in-Konditor/in-Confiseur/in EFZ",26,0.34,15,11
45,"Büroassistent/in EBA",25,0.32,18,7
45,"Carrossier/in Lackiererei EFZ",25,0.32,3,22
45,"Coiffeur/-euse EBA",25,0.32,19,6
45,"Landmaschinenmechaniker/in EFZ",25,0.32,0,25
49,"Florist/in EFZ",24,0.31,22,2
49,"Geomatiker/in EFZ",24,0.31,2,22
49,"Logistiker/in EBA",24,0.31,3,21
52,"Anlagen- und Apparatebauer/in EFZ",23,0.30,0,23
53,"Elektroplaner/in EFZ",22,0.29,7,15
54,"Automatikmonteur/in EFZ",19,0.25,1,18
55,"Fachmann/-frau Hauswirtschaft EFZ",18,0.23,16,2
55,"Gebäudetechnikplaner/in Lüftung EFZ",18,0.23,6,12
55,"Strassenbauer/in EFZ",18,0.23,0,18
58,"Forstwart/in EFZ",17,0.22,1,16
58,"Printmedienverarbeiter/in EFZ",17,0.22,8,9
58,"Spengler/in EFZ",17,0.22,0,17
61,"Fachmann/-frau Kundendialog EFZ",16,0.21,9,7
61,"Haustechnikpraktiker/in EBA",16,0.21,0,16
61,"Hauswirtschaftspraktiker/in EBA",16,0.21,14,2
61,"Zeichner/in (Ingenieurbau) EFZ",16,0.21,3,13
65,"Polygraf/in EFZ",15,0.19,10,5
66,"Gebäudetechnikplaner/in Heizung EFZ",14,0.18,4,10
67,"Anlehre: Übrige Berufe",13,0.17,5,8
68,"Boden-Parkettleger/in EFZ",12,0.16,0,12
68,"Fotofachmann/-frau EFZ",12,0.16,3,9
68,"Gestalter/in Werbetechnik EFZ",12,0.16,7,5
68,"Multimediaelektroniker/in EFZ",12,0.16,1,11
68,"Polybauer/in EFZ",12,0.16,1,11
68,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",12,0.16,10,2
74,"Baumaschinenmechaniker/in EFZ",11,0.14,0,11
74,"Carrossier/in Spenglerei EFZ",11,0.14,0,11
74,"Informatikpraktiker/in EBA",11,0.14,1,10
74,"Kosmetiker/in EFZ",11,0.14,11,0
74,"Lebensmitteltechnologe/-login EFZ",11,0.14,3,8
74,"Netzelektriker/in EFZ",11,0.14,2,9
74,"Reifenpraktiker/in EBA",11,0.14,0,11
74,"Strassentransportfachmann/-frau EFZ",11,0.14,1,10
82,"Automobil-Assistent/in EBA",10,0.13,0,10
82,"Fahrradmechaniker/in EFZ",10,0.13,0,10
82,"Fleischfachmann/-frau EFZ",10,0.13,2,8
82,"Restaurationsangestellte/r EBA",10,0.13,6,4
82,"Zimmermann/Zimmerin",10,0.13,0,10
87,"Buchhändler/in EFZ",9,0.12,8,1
87,"Drucktechnologe/-login EFZ",9,0.12,3,6
87,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",9,0.12,6,3
87,"Kaminfeger/in EFZ",9,0.12,0,9
87,"Küchenangestellte/r EBA",9,0.12,2,7
87,"Zahntechniker/in EFZ",9,0.12,5,4
93,"Gärtner/in",8,0.10,2,6
93,"Gärtner/in EBA",8,0.10,1,7
93,"Holzbearbeiter/in EBA",8,0.10,0,8
93,"Kunststofftechnologe/-login EFZ",8,0.10,2,6
93,"Metallbaukonstrukteur/in EFZ",8,0.10,0,8
93,"Motorradmechaniker/in EFZ",8,0.10,0,8
93,"Plattenleger/in EFZ",8,0.10,0,8
