Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7779,100.00,3539,4240
1,"Kaufmann/-frau EFZ Erweiterte Grundbildung",1270,16.33,737,533
2,"Detailhandelsfachmann/-frau EFZ",474,6.09,245,229
3,"Fachmann/-frau Betreuung EFZ",472,6.07,396,76
4,"Fachmann/-frau Gesundheit EFZ",458,5.89,406,52
5,"Kaufmann/-frau EFZ Basis-Grundbildung",330,4.24,185,145
6,"Informatiker/in EFZ",316,4.06,40,276
7,"Elektroinstallateur/in EFZ",271,3.48,5,266
8,"Medizinische Praxisassistent/in EFZ",209,2.69,203,6
8,"Zeichner/in EFZ",209,2.69,61,148
10,"Polymechaniker/in EFZ",192,2.47,9,183
11,"Logistiker/in EFZ",174,2.24,16,158
12,"Koch/Köchin EFZ",168,2.16,50,118
13,"Dentalassistent/in EFZ",166,2.13,164,2
14,"Automobil-Fachmann/-frau EFZ",135,1.74,9,126
15,"Pharma-Assistent/in EFZ",132,1.70,125,7
16,"Detailhandelsassistent/in EBA",126,1.62,67,59
17,"Automobil-Mechatroniker/in EFZ",107,1.38,2,105
18,"Fachmann/-frau Betriebsunterhalt EFZ",101,1.30,4,97
19,"Schreiner/in EFZ",94,1.21,10,84
20,"Gärtner/in EFZ",88,1.13,15,73
21,"Automatiker/in EFZ",86,1.11,6,80
22,"Coiffeur/-euse EFZ",83,1.07,75,8
23,"Assistent/in Gesundheit und Soziales EBA",82,1.05,68,14
24,"Sanitärinstallateur/in EFZ",81,1.04,1,80
25,"Zimmermann/Zimmerin EFZ",80,1.03,2,78
26,"Montage-Elektriker/in EFZ",75,0.96,0,75
27,"Konstrukteur/in EFZ",68,0.87,8,60
28,"Maurer/in EFZ",65,0.84,0,65
29,"Hotelfachmann/-frau EFZ",60,0.77,48,12
29,"Maler/in EFZ",60,0.77,26,34
31,"Anlehre: INSOS Pra",57,0.73,22,35
32,"Elektroniker/in EFZ",52,0.67,4,48
33,"Augenoptiker/in EFZ",49,0.63,39,10
34,"Laborant/in EFZ",47,0.60,27,20
35,"Mediamatiker/in EFZ",45,0.58,19,26
36,"Restaurationsfachmann/-frau EFZ",41,0.53,28,13
37,"Drogist/in EFZ",39,0.50,36,3
38,"Bäcker/in-Konditor/in-Confiseur/in EFZ",38,0.49,30,8
39,"Elektroplaner/in EFZ",37,0.48,6,31
40,"Heizungsinstallateur/in EFZ",34,0.44,0,34
41,"Metallbauer/in EFZ",33,0.42,0,33
41,"Produktionsmechaniker/in EFZ",33,0.42,1,32
43,"Florist/in EFZ",30,0.39,29,1
44,"Landwirt/in EFZ",29,0.37,7,22
45,"Forstwart/in EFZ",27,0.35,2,25
46,"Gebäudetechnikplaner/in Heizung EFZ",26,0.33,6,20
47,"Carrossier/in Lackiererei EFZ",24,0.31,0,24
47,"Tiermed. Praxisassistent/in EFZ",24,0.31,21,3
49,"Fachmann/-frau Kundendialog EFZ",21,0.27,11,10
49,"Landmaschinenmechaniker/in EFZ",21,0.27,2,19
51,"Geomatiker/in EFZ",20,0.26,8,12
52,"Coiffeur/-euse EBA",19,0.24,13,6
52,"Fachmann/Fachfrau Hauswirtschaft EFZ",19,0.24,19,0
54,"Automobil-Assistent/in EBA",18,0.23,0,18
54,"Logistiker/in EBA",18,0.23,0,18
54,"Netzelektriker/in EFZ",18,0.23,0,18
54,"Reifenpraktiker/in EBA",18,0.23,0,18
58,"Büroassistent/in EBA",17,0.22,9,8
58,"Gebäudetechnikplaner/in Lüftung EFZ",17,0.22,1,16
60,"Gestalter/in Werbetechnik EFZ",16,0.21,8,8
60,"Hauswirtschaftspraktiker/in EBA",16,0.21,13,3
62,"Drucktechnologe/-login EFZ",15,0.19,7,8
62,"Polygraf/in EFZ",15,0.19,8,7
62,"Strassentransportfachmann/-frau EFZ",15,0.19,4,11
65,"Anlagen- und Apparatebauer/in EFZ",14,0.18,0,14
65,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",14,0.18,8,6
65,"Fachmann/-frau öffentlicher Verkehr EFZ",14,0.18,6,8
65,"Haustechnikpraktiker/in EBA",14,0.18,0,14
65,"Lebensmitteltechnologe/-login EFZ",14,0.18,3,11
65,"Spengler/in EFZ",14,0.18,1,13
71,"Carrossier/in Spenglerei EFZ",13,0.17,1,12
71,"Kosmetiker/in EFZ",13,0.17,12,1
73,"Automatikmonteur/in EFZ",12,0.15,2,10
73,"Bekleidungsgestalter/in EFZ",12,0.15,11,1
73,"Schreinerpraktiker/in EBA",12,0.15,1,11
73,"Strassenbauer/in EFZ",12,0.15,0,12
77,"Baumaschinenmechaniker/in EFZ",11,0.14,0,11
77,"Fahrradmechaniker/in EFZ",11,0.14,4,7
77,"Fotofachmann/-frau EFZ",11,0.14,4,7
77,"Gärtner/in EBA",11,0.14,1,10
77,"Hotel-Kommunikationsfachmann/-frau EFZ",11,0.14,7,4
77,"Malerpraktiker/in EBA",11,0.14,2,9
77,"Unterhaltspraktiker/in EBA",11,0.14,3,8
84,"Baupraktiker/in EBA",10,0.13,0,10
84,"Fachmann/-frau Information u. Dokumentation EFZ",10,0.13,9,1
84,"Küchenangestellte/r EBA",10,0.13,3,7
87,"Bäcker/in-Konditor/in-Confiseur/in EBA",9,0.12,3,6
87,"Fleischfachmann/-frau EFZ",9,0.12,2,7
87,"Lüftungsanlagenbauer/in EFZ",9,0.12,0,9
87,"Systemgastronomiefachmann/-frau EFZ",9,0.12,5,4
91,"Boden-Parkettleger/in EFZ",8,0.10,1,7
91,"Gebäudetechnikplaner/in Sanitär EFZ",8,0.10,2,6
91,"Kunststofftechnologe/-login EFZ",8,0.10,5,3
91,"Motorradmechaniker/in EFZ",8,0.10,0,8
91,"Multimediaelektroniker/in EFZ",8,0.10,0,8
91,"Pferdefachmann/-frau EFZ",8,0.10,8,0
91,"Restaurationsangestellte/r EBA",8,0.10,5,3
91,"Tierpfleger/in EFZ",8,0.10,6,2
91,"Zahntechniker/in EFZ",8,0.10,6,2
100,"Gipser/in und Maler/in",7,0.09,1,6
100,"Gleisbauer/in EFZ",7,0.09,0,7
100,"Hotellerieangestellte/r EBA",7,0.09,6,1
100,"Metallbaupraktiker/in EBA",7,0.09,1,6
100,"Plattenleger/in EFZ",7,0.09,0,7
105,"Buchhändler/in EFZ",6,0.08,5,1
105,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",6,0.08,6,0
107,"Chemie- und Pharmatechnologe/-login EFZ",5,0.06,1,4
107,"Gebäudereiniger/in EFZ",5,0.06,0,5
107,"Kältesystem-Monteur/in EFZ",5,0.06,0,5
107,"Kaminfeger/in EFZ",5,0.06,0,5
107,"Mechanikpraktiker/in EBA",5,0.06,0,5
107,"Physiklaborant/in EFZ",5,0.06,0,5
107,"Recyclist/in EFZ",5,0.06,0,5
