Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7720,100.00,3514,4206
1,"Kaufmann/Kauffrau Erw. Grundbildung (E-Profil)",1426,18.47,892,534
2,"Detailhandelsfachmann/-frau Beratung EFZ",433,5.61,277,156
3,"Fachmann/-frau Gesundheit EFZ",305,3.95,270,35
4,"Elektroinstallateur/in EFZ",289,3.74,5,284
5,"Koch/Köchin EFZ",262,3.39,87,175
6,"Kaufmann/Kauffrau Basisbildung (B-Profil)",248,3.21,161,87
7,"Polymechaniker/in EFZ",213,2.76,7,206
8,"Fachmann/-frau Betreuung (Kinderbetreuung) EFZ",196,2.54,190,6
9,"Coiffeur/-euse EFZ",181,2.34,154,27
10,"Med. Praxisassistent/in EFZ",151,1.96,151,0
11,"Dentalassistent/in EFZ",144,1.87,142,2
12,"Logistiker/in EFZ",137,1.77,11,126
13,"Detailhandelsfachmann/-frau  Bewirtschaftung EFZ",133,1.72,76,57
14,"Detailhandelsassistent/in EBA",121,1.57,79,42
15,"Zeichner/in (Architektur) EFZ",114,1.48,44,70
16,"Pharma-Assistent/in EFZ",112,1.45,110,2
17,"Maler/in",110,1.42,54,56
18,"Sanitärinstallateur/in EFZ",100,1.30,3,97
18,"Schreiner/in (Möbel/Innenausbau)",100,1.30,14,86
20,"Automobil-Fachmann/-frau (Personenwagen) EFZ",96,1.24,2,94
20,"Gärtner/in (Garten- u. Landschaftsbau)",96,1.24,6,90
22,"Automobil-Mechatroniker/in (Personenwagen) EFZ",93,1.20,4,89
23,"Informatiker/in (Systemtechnik) EFZ",90,1.17,7,83
24,"Informatiker/in (Applikationsentwicklung) EFZ",89,1.15,6,83
24,"Maurer/in EFZ",89,1.15,1,88
26,"Automatiker/in EFZ",83,1.08,4,79
27,"Konstrukteur/in EFZ",79,1.02,10,69
28,"Fachmann/-frau Betriebsunterhalt EFZ",78,1.01,5,73
29,"Elektroniker/in EFZ",74,0.96,0,74
29,"Zimmermann/Zimmerin",74,0.96,0,74
31,"Restaurationsfachmann/-frau EFZ",60,0.78,48,12
32,"Bäcker/in-Konditor/in",58,0.75,20,38
33,"Zeichner/in (Ingenieurbau) EFZ",55,0.71,19,36
34,"Hotelfachmann/-frau EFZ",53,0.69,49,4
35,"Metallbauer/in EFZ",52,0.67,0,52
36,"Augenoptiker/in EFZ",48,0.62,43,5
37,"Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ",47,0.61,44,3
37,"Informatiker/in (Generalistische Ausbildung) EFZ",47,0.61,3,44
39,"Informatiker/in (Support) EFZ",44,0.57,6,38
40,"Florist/in EFZ",42,0.54,42,0
41,"Heizungsinstallateur/in EFZ",35,0.45,0,35
42,"Drogist/in EFZ",34,0.44,32,2
42,"Landwirt/in EFZ",34,0.44,4,30
42,"Logistiker/in EBA",34,0.44,3,31
45,"Fachmann/-frau Hauswirtschaft EFZ",31,0.40,29,2
45,"Montage-Elektriker/in EFZ",31,0.40,0,31
47,"Hauswirtschaftspraktiker/in EBA",29,0.38,25,4
47,"Produktionsmechaniker/in EFZ",29,0.38,1,28
49,"Automobil-Assistent/in EBA",26,0.34,0,26
49,"Carrossier/in Spenglerei EFZ",26,0.34,0,26
49,"Konditor/in-Confiseur/in",26,0.34,22,4
52,"Bekleidungsgestalter/in (Damenbekleidung)",25,0.32,25,0
52,"Drucktechnologe/-login EFZ",25,0.32,5,20
52,"Schreinerpraktiker/in EBA",25,0.32,0,25
52,"Tiermed. Praxisassistent/in EFZ",25,0.32,24,1
56,"Elektroplaner/in EFZ",24,0.31,1,23
56,"Geomatiker/in EFZ",24,0.31,6,18
56,"Schreiner/in (Bau/Fenster)",24,0.31,1,23
59,"Carrossier/in Lackiererei EFZ",23,0.30,3,20
59,"Fachmann/-frau Betreuung (Generalist. Ausb.) EFZ",23,0.30,20,3
59,"Forstwart/in EFZ",23,0.30,0,23
59,"Pflegeassistent/in",23,0.30,20,3
63,"Landmaschinenmechaniker/in EFZ",22,0.28,0,22
64,"Anlagen- und Apparatebauer/in",21,0.27,0,21
64,"Haustechnikplaner/in (Kälte)",21,0.27,3,18
64,"Laborant/in (Chemie) EFZ",21,0.27,10,11
67,"Gärtner/in (Zierpflanzen)",20,0.26,12,8
67,"Haustechnikpraktiker/in EBA",20,0.26,1,19
67,"Lastwagenführer/in",20,0.26,1,19
67,"Multimediaelektroniker/in",20,0.26,0,20
67,"Spengler/in EFZ",20,0.26,0,20
72,"Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ",19,0.25,0,19
73,"Anlehre: Metallbearbeitung, Maschinenbau",18,0.23,0,18
73,"Büroassistent/in EBA",18,0.23,14,4
75,"Automatikmonteur/in EFZ",16,0.21,0,16
76,"Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ",15,0.19,0,15
76,"Gestalter/in Werbetechnik EFZ",15,0.19,8,7
76,"Zeichner/in (Raumplanung) EFZ",15,0.19,5,10
79,"Chemie- und Pharmatechnologe/-login EFZ",14,0.18,5,9
79,"Fleischfachmann/-frau EFZ",14,0.18,1,13
79,"Kosmetiker/in EFZ",14,0.18,14,0
79,"Zweiradmechaniker/in (Fahrräder)",14,0.18,1,13
83,"Polygraf/in (Mediengestaltung) EFZ",13,0.17,7,6
84,"Restaurationsangestellte/r EBA",12,0.16,9,3
85,"Buchhändler/in EFZ",11,0.14,9,2
85,"Küchenangestellte/r EBA",11,0.14,5,6
85,"Plattenleger/in EFZ",11,0.14,2,9
85,"Reifenpraktiker/in EBA",11,0.14,0,11
89,"Bodenleger/in (Parkett)",10,0.13,0,10
89,"Fotofachmann/-frau EFZ (Beratung und Verkauf)",10,0.13,9,1
89,"Gärtner/in (Baumschule)",10,0.13,0,10
89,"Gebäudereiniger/in EFZ",10,0.13,0,10
89,"Gipser/in",10,0.13,1,9
89,"Innendekorateur/in",10,0.13,10,0
89,"Lebensmitteltechnologe/-login",10,0.13,1,9
89,"Mechanikpraktiker/in EBA",10,0.13,0,10
89,"Mediamatiker/in EFZ",10,0.13,1,9
89,"Motorradmechaniker/in EFZ",10,0.13,1,9
89,"Verkehrswegbauer/in: Strassenbauer/in",10,0.13,0,10
100,"Anlehre: Büro, Verwaltung",9,0.12,6,3
100,"Anlehre: Landwirtsch., Gartenbau, Forstwirtschaft",9,0.12,1,8
100,"Anlehre: Technische Berufe",9,0.12,0,9
100,"Baumaschinenmechaniker/in EFZ",9,0.12,0,9
100,"Dachdecker/in",9,0.12,0,9
100,"Fachmann/-frau Betreuung (Behindertenbetreung) EFZ",9,0.12,8,1
100,"Netzelektriker/in",9,0.12,0,9
107,"Florist/in EBA",8,0.10,8,0
107,"Polygraf/in (Medienproduktion) EFZ",8,0.10,4,4
107,"Strassenbaupraktiker/in EBA",8,0.10,0,8
107,"Zahntechniker/in EFZ",8,0.10,6,2
107,"Zweiradmechaniker/in (Kleinmotorräder)",8,0.10,1,7
112,"Anlehre: Verkauf",7,0.09,5,2
112,"Fachmann/-frau Information u. Dokumentation EFZ",7,0.09,4,3
112,"Laborant/in (Biologie) EFZ",7,0.09,2,5
115,"Anlehre: Gastgewerbe, Hauswirtschaft",6,0.08,3,3
115,"Anlehre: Übrige Berufe",6,0.08,2,4
115,"Gebäudetechnikplaner/in Heizung EFZ",6,0.08,2,4
115,"Hotellerieangestellte/r EBA",6,0.08,4,2
115,"Informatikpraktiker/in EBA",6,0.08,1,5
115,"Maurer/in  (Tiefbau)",6,0.08,0,6
115,"Motorgerätemechaniker/in EFZ",6,0.08,0,6
115,"Physiklaborant/in",6,0.08,1,5
115,"Telematiker/in EFZ",6,0.08,0,6
124,"Anlehre: Baugewerbe, Malerei",5,0.06,0,5
124,"Bodenleger/in (Textile und elastische Beläge)",5,0.06,0,5
124,"Fleischfachassistent/in EBA",5,0.06,2,3
124,"Fotofachmann/-frau EFZ (Finishing)",5,0.06,4,1
124,"Industrielackierer/in EFZ",5,0.06,1,4
124,"Kältemonteur/in",5,0.06,1,4
124,"Lüftungsanlagenbauer/in EFZ",5,0.06,0,5
124,"Polybauer/in (Dachdecken) EFZ",5,0.06,0,5
124,"Tierpfleger/in EFZ",5,0.06,4,1
133,"Architekturmodellbauer/in",4,0.05,2,2
133,"Bootbauer/in",4,0.05,0,4
133,"Fahrzeugschlosser/in EFZ",4,0.05,0,4
133,"Gärtner/in (Stauden)",4,0.05,3,1
133,"Gebäudetechnikplaner/in Lüftung EFZ",4,0.05,1,3
133,"Gebäudetechnikplaner/in Sanitär EFZ",4,0.05,2,2
133,"Kaminfeger/in EFZ",4,0.05,0,4
133,"Metallbaukonstrukteur/in EFZ",4,0.05,1,3
133,"Podologe/-login EFZ",4,0.05,4,0
133,"Zeichner/in (Landschaftsarchitektur) EFZ",4,0.05,1,3
143,"Bauisoleur/in",3,0.04,0,3
143,"Kunststofftechnologe/-login EFZ",3,0.04,0,3
143,"Milchtechnologe/-login EFZ",3,0.04,0,3
143,"Orthopädist/in EFZ",3,0.04,1,2
143,"Pferdefachmann/-frau (Klassisches Reiten) EFZ",3,0.04,3,0
143,"Pferdefachmann/-frau (Pferdepflege) EFZ",3,0.04,3,0
143,"Pferdewart/in EBA",3,0.04,3,0
143,"Polybaupraktiker/in EBA",3,0.04,0,3
151,"Anlehre: Postangestellte/r",2,0.03,0,2
151,"Attest: Baugewerbe, Malerei",2,0.03,1,1
151,"Bauwerktrenner/in EFZ",2,0.03,0,2
151,"Bekleidungsgestalter/in (Modisterei)",2,0.03,2,0
151,"Bootfachwart/in",2,0.03,0,2
151,"Flachdachbauer/in",2,0.03,0,2
151,"Goldschmied/in (Goldschmieden) EFZ",2,0.03,0,2
151,"Grafiker/in EFZ",2,0.03,2,0
151,"Lebensmittelpraktiker/in EBA",2,0.03,0,2
151,"Oberflächenbeschichter/in EFZ",2,0.03,0,2
151,"Ofenbauer/in EFZ",2,0.03,0,2
151,"Pferdefachmann/-frau (Gangpferdereiten) EFZ",2,0.03,2,0
151,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",2,0.03,2,0
