Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
151,"Printmedienverarbeiter/in (Buchbinderei) EFZ",2,0.03,1,1
151,"Siebdrucker/in",2,0.03,0,2
151,"Textiltechnologe/-login (Verarbeitung) EFZ",2,0.03,2,0
151,"Uhrmacher/in (Rhabillage)",2,0.03,0,2
151,"Verkehrswegbauer/in: Gleisbauer/in",2,0.03,0,2
151,"Weintechnologe/-login EFZ",2,0.03,0,2
151,"Winzer/in EFZ",2,0.03,0,2
151,"Wohntextilgestalter/in EFZ",2,0.03,2,0
151,"Zeichner/in (Innenarchitektur) EFZ",2,0.03,1,1
173,"Agrarpraktiker/in EBA",1,0.01,0,1
173,"Anlehre: Erde, Steine, Glas",1,0.01,0,1
173,"Anlehre: Grafisches Gewerbe",1,0.01,1,0
173,"Anlehre: Körperpflege",1,0.01,1,0
173,"Anlehre: Nahrungsmittel und Getränke",1,0.01,0,1
173,"Betonwerker/in EFZ",1,0.01,0,1
173,"Formenbauer/in EFZ (Techn. Modellbauer/in)",1,0.01,0,1
173,"Gemüsegärtner/in EFZ",1,0.01,0,1
173,"Gerüstmonteur/in",1,0.01,0,1
173,"Gipser/in und Maler/in",1,0.01,0,1
173,"Holzhandwerker/in EFZ (Drechslerei)",1,0.01,1,0
173,"Hufschmied/in EFZ",1,0.01,0,1
173,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",1,0.01,0,1
173,"Laborant/in (Farbe und Lack) EFZ",1,0.01,1,0
173,"Milchpraktiker/in EBA",1,0.01,0,1
173,"Musikinstrumentenbauer/in (Klavierbau) EFZ",1,0.01,0,1
173,"Musikinstrumentenbauer/in (Orgelbau) EFZ",1,0.01,0,1
173,"Oberflächenpraktiker/in EBA",1,0.01,0,1
173,"Orthopädie-Schuhmacher/in EFZ",1,0.01,0,1
173,"Papiertechnologe/-login EFZ",1,0.01,0,1
173,"Pferdefachmann/-frau (Westernreiten) EFZ",1,0.01,1,0
173,"Polybauer/in (Gerüstbau) EFZ",1,0.01,0,1
173,"Polybauer/in (Sonnenschutzsysteme) EFZ",1,0.01,0,1
173,"Recyclist/in EFZ",1,0.01,0,1
173,"Rheinmatrose/-matrosin (BS)",1,0.01,0,1
173,"Säger/in Holzindustrie EFZ",1,0.01,0,1
173,"Steinbildhauer/in EFZ",1,0.01,1,0
173,"Steinmetz/in EFZ",1,0.01,1,0
173,"Steinwerker/in EFZ",1,0.01,0,1
173,"Storenmonteur/in",1,0.01,0,1
173,"Vergolder/in-Einrahmer/in EFZ",1,0.01,1,0
173,"Verpackungstechnologe/-login EFZ",1,0.01,0,1
