Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
44,"Fachmann/-frau Kundendialog EFZ",26,0.34,19,7
46,"Bekleidungsgestalter/in EFZ",23,0.30,19,4
46,"Fachmann/Fachfrau Hauswirtschaft EFZ",23,0.30,23,0
46,"Haustechnikpraktiker/in EBA",23,0.30,0,23
49,"Gestalter/in Werbetechnik EFZ",22,0.29,15,7
50,"Carrossier/in Lackiererei EFZ",21,0.27,5,16
50,"Carrossier/in Spenglerei EFZ",21,0.27,0,21
50,"Logistiker/in EBA",21,0.27,0,21
53,"Büroassistent/in EBA",20,0.26,11,9
53,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",20,0.26,10,10
53,"Gebäudetechnikplaner/in Heizung EFZ",20,0.26,5,15
53,"Hauswirtschaftspraktiker/in EBA",20,0.26,15,5
53,"Landwirt/in EFZ",20,0.26,7,13
58,"Automatikmonteur/in EFZ",19,0.25,0,19
58,"Coiffeur/-euse EBA",19,0.25,14,5
58,"Gebäudetechnikplaner/in Lüftung EFZ",19,0.25,2,17
61,"Anlagen- und Apparatebauer/in EFZ",18,0.23,0,18
61,"Automobil-Assistent/in EBA",18,0.23,0,18
61,"Geomatiker/in EFZ",18,0.23,2,16
61,"Strassenbauer/in EFZ",18,0.23,0,18
65,"Polygraf/in EFZ",17,0.22,10,7
65,"Spengler/in EFZ",17,0.22,0,17
67,"Drucktechnologe/-login EFZ",16,0.21,3,13
67,"Forstwart/in EFZ",16,0.21,0,16
69,"Küchenangestellte/r EBA",15,0.19,3,12
69,"Reifenpraktiker/in EBA",15,0.19,0,15
71,"Kosmetiker/in EFZ",14,0.18,13,1
71,"Schreinerpraktiker/in EBA",14,0.18,1,13
73,"Baumaschinenmechaniker/in EFZ",12,0.16,0,12
73,"Fachmann/-frau öffentlicher Verkehr EFZ",12,0.16,3,9
73,"Fahrradmechaniker/in EFZ",12,0.16,3,9
73,"Gebäudetechnikplaner/in Sanitär EFZ",12,0.16,4,8
73,"Lebensmitteltechnologe/-login EFZ",12,0.16,5,7
73,"Netzelektriker/in EFZ",12,0.16,0,12
79,"Fotofachmann/-frau EFZ",11,0.14,5,6
80,"Strassentransportfachmann/-frau EFZ",10,0.13,2,8
81,"Fachmann/-frau Information u. Dokumentation EFZ",9,0.12,7,2
81,"Gärtner/in EBA",9,0.12,0,9
81,"Hotel-Kommunikationsfachmann/-frau EFZ",9,0.12,6,3
81,"Informatikpraktiker/in EBA",9,0.12,0,9
81,"Innendekorateur/in",9,0.12,7,2
81,"Malerpraktiker/in EBA",9,0.12,0,9
81,"Metallbaukonstrukteur/in EFZ",9,0.12,1,8
81,"Restaurationsangestellte/r EBA",9,0.12,6,3
89,"Multimediaelektroniker/in EFZ",8,0.10,0,8
89,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",8,0.10,7,1
89,"Systemgastronomiefachmann/-frau EFZ",8,0.10,6,2
92,"Buchhändler/in EFZ",7,0.09,5,2
92,"Kunststofftechnologe/-login EFZ",7,0.09,0,7
92,"Motorradmechaniker/in EFZ",7,0.09,0,7
95,"Boden-Parkettleger/in EFZ",6,0.08,0,6
95,"Fleischfachmann/-frau EFZ",6,0.08,2,4
95,"Gebäudereiniger/in EFZ",6,0.08,1,5
95,"Gipser/in und Maler/in",6,0.08,2,4
95,"Kaminfeger/in EFZ",6,0.08,1,5
95,"Pferdefachmann/-frau EFZ",6,0.08,5,1
95,"Podologe/-login EFZ",6,0.08,6,0
95,"Recyclist/in EFZ",6,0.08,0,6
95,"Zahntechniker/in EFZ",6,0.08,4,2
104,"Agrarpraktiker/in EBA",5,0.06,0,5
104,"Baupraktiker/in EBA",5,0.06,0,5
104,"Bühnentänzer/in EFZ",5,0.06,4,1
104,"Chemie- und Pharmatechnologe/-login EFZ",5,0.06,1,4
104,"Dachdecker/in EFZ",5,0.06,0,5
104,"Milchtechnologe/-login EFZ",5,0.06,1,4
104,"Physiklaborant/in EFZ",5,0.06,0,5
104,"Strassenbaupraktiker/in EBA",5,0.06,0,5
104,"Telematiker/in EFZ",5,0.06,0,5
104,"Tierpfleger/in EFZ",5,0.06,5,0
104,"Unterhaltspraktiker/in EBA",5,0.06,0,5
104,"Veranstaltungsfachmann/-frau EFZ",5,0.06,1,4
116,"Coiffeur/-euse (Fachschule)",4,0.05,4,0
116,"Gleisbauer/in EFZ",4,0.05,0,4
116,"Holzbearbeiter/in EBA",4,0.05,0,4
116,"Hörsystemakustiker/in EFZ",4,0.05,2,2
116,"Hotellerieangestellte/r EBA",4,0.05,4,0
116,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",4,0.05,1,3
116,"Lüftungsanlagenbauer/in EFZ",4,0.05,0,4
116,"Metallbaupraktiker/in EBA",4,0.05,0,4
116,"Plattenleger/in EFZ",4,0.05,0,4
116,"Printmedienverarbeiter/in EFZ",4,0.05,2,2
116,"Storenmonteur/in EFZ",4,0.05,0,4
127,"Abdichter/in EFZ",3,0.04,0,3
127,"Bäcker/in-Konditor/in-Confiseur/in EBA",3,0.04,2,1
127,"Bootfachwart/in EFZ",3,0.04,1,2
127,"Fahrzeugschlosser/in EFZ",3,0.04,0,3
127,"Gebäudereiniger/in EBA",3,0.04,0,3
127,"Gipser/in-Trockenbauer/in EFZ",3,0.04,0,3
127,"Gipserpraktiker/in EBA",3,0.04,0,3
127,"Holzhandwerker/in EFZ",3,0.04,0,3
127,"Industrielackierer/in EFZ",3,0.04,0,3
127,"Lackierassisten/in EBA",3,0.04,0,3
127,"Mechanikpraktiker/in EBA",3,0.04,0,3
127,"Tänzer/in",3,0.04,2,1
127,"Uhrmacher/in EFZ",3,0.04,0,3
140,"Abdichtungspraktiker/in EBA",2,0.03,0,2
140,"Anlagenführer/in EFZ (ab Lehrbeginn 2017)",2,0.03,0,2
140,"Architekturmodellbauer/in EFZ",2,0.03,1,1
140,"Entwässerungstechnologe/-technologin EFZ",2,0.03,0,2
140,"Florist/in EBA",2,0.03,2,0
140,"Geflügelfachmann/-fachfrau EFZ",2,0.03,1,1
140,"Glaser/in EFZ",2,0.03,0,2
140,"Goldschmied/in EFZ",2,0.03,2,0
140,"Hufschmied/in EFZ",2,0.03,1,1
140,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",2,0.03,0,2
140,"Industrie- und Unterlagsbodenbauer/in EFZ",2,0.03,0,2
140,"Kältesystem-Monteur/in EFZ",2,0.03,0,2
140,"Motorgerätemechaniker/in EFZ",2,0.03,0,2
140,"Musikinstrumentenbauer/in EFZ",2,0.03,2,0
140,"Oberflächenbeschichter/in EFZ",2,0.03,2,0
140,"Orthopädie-Schuhmacher/in EFZ",2,0.03,2,0
140,"Polybauer/in EFZ",2,0.03,0,2
140,"Säger/in Holzindustrie EFZ",2,0.03,1,1
140,"Seilbahn-Mechatroniker/in EFZ",2,0.03,0,2
159,"Architekturmodellbauer/in",1,0.01,1,0
159,"Büchsenmacher/in EFZ",1,0.01,0,1
159,"Fachmann/-frau Leder und Textil EFZ",1,0.01,0,1
159,"Fassadenbauer/in EFZ",1,0.01,0,1
159,"Fleischfachassistent/in EBA",1,0.01,0,1
159,"Gerüstbauer/in EFZ",1,0.01,0,1
159,"Grundbaupraktiker/in EBA",1,0.01,0,1
159,"Interactive Media Designer EFZ",1,0.01,0,1
159,"Isolierspengler/in EFZ",1,0.01,0,1
159,"Laborist/in",1,0.01,0,1
159,"Müller/in EFZ",1,0.01,0,1
159,"Ofenbauer/in EFZ",1,0.01,0,1
159,"Orthopädist/in EFZ",1,0.01,1,0
159,"Pferdewart/in EBA",1,0.01,1,0
159,"Plattenlegerpraktiker/in EBA",1,0.01,0,1
159,"Printmedienpraktiker/in EBA",1,0.01,0,1
159,"Schuhmacher/in EFZ",1,0.01,0,1
159,"Steinmetz/in EFZ",1,0.01,0,1
159,"Weintechnologe/-login EFZ",1,0.01,0,1
159,"Winzer/in EFZ",1,0.01,0,1
