Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7707,100.00,3552,4155
1,"Kaufmann/-frau EFZ Erweiterte Grundbildung",1301,16.88,784,517
2,"Detailhandelsfachmann/-frau EFZ",520,6.75,262,258
3,"Fachmann/-frau Gesundheit EFZ",488,6.33,419,69
4,"Fachmann/-frau Betreuung EFZ",401,5.20,348,53
5,"Kaufmann/-frau EFZ Basis-Grundbildung",344,4.46,190,154
6,"Informatiker/in EFZ",292,3.79,34,258
7,"Elektroinstallateur/in EFZ",290,3.76,2,288
8,"Polymechaniker/in EFZ",190,2.47,9,181
9,"Zeichner/in EFZ",186,2.41,85,101
10,"Logistiker/in EFZ",175,2.27,13,162
11,"Dentalassistent/in EFZ",173,2.24,171,2
12,"Medizinische Praxisassistent/in EFZ",165,2.14,163,2
13,"Koch/Köchin EFZ",156,2.02,53,103
14,"Pharma-Assistent/in EFZ",140,1.82,135,5
15,"Automobil-Fachmann/-frau EFZ",131,1.70,5,126
16,"Detailhandelsassistent/in EBA",129,1.67,70,59
17,"Schreiner/in EFZ",124,1.61,15,109
18,"Fachmann/-frau Betriebsunterhalt EFZ",112,1.45,1,111
19,"Coiffeur/-euse EFZ",90,1.17,79,11
20,"Zimmermann/Zimmerin EFZ",87,1.13,2,85
21,"Automatiker/in EFZ",82,1.06,4,78
22,"Gärtner/in EFZ",81,1.05,16,65
23,"Assistent/in Gesundheit und Soziales EBA",74,0.96,63,11
24,"Konstrukteur/in EFZ",73,0.95,11,62
25,"Hotelfachmann/-frau EFZ",69,0.90,52,17
26,"Maurer/in EFZ",66,0.86,1,65
27,"Automobil-Mechatroniker/in EFZ",65,0.84,0,65
28,"Sanitärinstallateur/in EFZ",62,0.80,0,62
29,"Maler/in EFZ",61,0.79,34,27
30,"Montage-Elektriker/in EFZ",60,0.78,0,60
31,"Elektroniker/in EFZ",52,0.67,2,50
31,"Heizungsinstallateur/in EFZ",52,0.67,0,52
33,"Mediamatiker/in EFZ",44,0.57,20,24
34,"Bäcker/in-Konditor/in-Confiseur/in EFZ",42,0.54,28,14
34,"Restaurationsfachmann/-frau EFZ",42,0.54,29,13
36,"Laborant/in EFZ",40,0.52,20,20
37,"Augenoptiker/in EFZ",39,0.51,30,9
38,"Produktionsmechaniker/in EFZ",37,0.48,1,36
39,"Landmaschinenmechaniker/in EFZ",32,0.42,1,31
40,"Metallbauer/in EFZ",31,0.40,4,27
41,"Drogist/in EFZ",30,0.39,28,2
42,"Florist/in EFZ",28,0.36,28,0
43,"Tiermed. Praxisassistent/in EFZ",27,0.35,25,2
44,"Elektroplaner/in EFZ",26,0.34,3,23
