Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7889,100.00,3593,4296
1,"Kaufmann/Kauffrau Erw. Grundbildung (E-Profil)",1487,18.85,930,557
2,"Detailhandelsfachmann/-frau Beratung EFZ",491,6.22,297,194
3,"Fachmann/-frau Gesundheit EFZ",361,4.58,322,39
4,"Elektroinstallateur/in EFZ",286,3.63,4,282
5,"Fachmann/-frau Betreuung (Kinderbetreuung) EFZ",235,2.98,215,20
6,"Kaufmann/Kauffrau Basisbildung (B-Profil)",224,2.84,143,81
7,"Koch/Köchin EFZ",216,2.74,54,162
8,"Polymechaniker/in EFZ",206,2.61,10,196
9,"Med. Praxisassistent/in EFZ",155,1.96,154,1
10,"Logistiker/in EFZ",151,1.91,17,134
11,"Dentalassistent/in EFZ",137,1.74,135,2
12,"Coiffeur/-euse EFZ",131,1.66,121,10
13,"Detailhandelsassistent/in EBA",124,1.57,89,35
14,"Automobil-Fachmann/-frau (Personenwagen) EFZ",119,1.51,7,112
15,"Pharma-Assistent/in EFZ",114,1.45,110,4
16,"Zeichner/in (Architektur) EFZ",111,1.41,44,67
17,"Schreiner/in (Möbel/Innenausbau)",110,1.39,11,99
18,"Informatiker/in (Applikationsentwicklung) EFZ",109,1.38,12,97
18,"Informatiker/in (Systemtechnik) EFZ",109,1.38,2,107
20,"Zimmermann/Zimmerin",107,1.36,1,106
21,"Detailhandelsfachmann/-frau  Bewirtschaftung EFZ",101,1.28,49,52
22,"Gärtner/in (Garten- u. Landschaftsbau)",91,1.15,7,84
23,"Automatiker/in EFZ",89,1.13,2,87
24,"Maurer/in EFZ",86,1.09,1,85
25,"Konstrukteur/in EFZ",85,1.08,7,78
26,"Sanitärinstallateur/in EFZ",82,1.04,0,82
27,"Automobil-Mechatroniker/in (Personenwagen) EFZ",73,0.93,4,69
27,"Fachmann/-frau Betriebsunterhalt EFZ",73,0.93,3,70
29,"Maler/in",72,0.91,30,42
30,"Elektroniker/in EFZ",60,0.76,0,60
31,"Hotelfachmann/-frau EFZ",59,0.75,53,6
32,"Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ",58,0.74,51,7
33,"Montage-Elektriker/in EFZ",57,0.72,1,56
34,"Restaurationsfachmann/-frau EFZ",50,0.63,36,14
35,"Informatiker/in (Generalistische Ausbildung) EFZ",49,0.62,3,46
36,"Zeichner/in (Ingenieurbau) EFZ",46,0.58,11,35
37,"Bäcker-Konditor-Confiseur/-in EFZ",45,0.57,27,18
38,"Heizungsinstallateur/in EFZ",43,0.55,0,43
38,"Logistiker/in EBA",43,0.55,5,38
40,"Drogist/in EFZ",42,0.53,38,4
40,"Fachmann/-frau Betreuung (Generalist. Ausb.) EFZ",42,0.53,34,8
42,"Florist/in EFZ",41,0.52,41,0
42,"Informatiker/in (Support) EFZ",41,0.52,3,38
44,"Augenoptiker/in EFZ",38,0.48,27,11
45,"Produktionsmechaniker/in EFZ",36,0.46,1,35
46,"Assistent/in Gesundheit und Soziales EBA",34,0.43,32,2
47,"Büroassistent/in EBA",32,0.41,22,10
48,"Laborant/in (Chemie) EFZ",31,0.39,12,19
48,"Landwirt/in EFZ",31,0.39,8,23
48,"Tiermed. Praxisassistent/in EFZ",31,0.39,30,1
51,"Bekleidungsgestalter/in (Damenbekleidung)",30,0.38,29,1
51,"Mediamatiker/in EFZ",30,0.38,6,24
51,"Metallbauer/in EFZ",30,0.38,0,30
54,"Carrossier/in Lackiererei EFZ",28,0.35,2,26
54,"Coiffeur/-euse EBA",28,0.35,25,3
54,"Elektroplaner/in EFZ",28,0.35,3,25
57,"Automobil-Assistent/in EBA",26,0.33,0,26
58,"Schreiner/in (Bau/Fenster)",23,0.29,1,22
59,"Carrossier/in Spenglerei EFZ",22,0.28,0,22
59,"Fachmann/-frau Betreuung (Behindertenbetreung) EFZ",22,0.28,20,2
59,"Geomatiker/in EFZ",22,0.28,8,14
