Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
161,"Printmedienverarbeiter/in (Druckausrüstung) EFZ",2,0.03,1,1
161,"Säger/in Holzindustrie EFZ",2,0.03,0,2
161,"Seilbahner/in EBA",2,0.03,1,1
161,"Textiltechnologe/-login (Design) EFZ",2,0.03,2,0
161,"Uhrmacher/in (Industrie)",2,0.03,0,2
161,"Verpackungstechnologe/-login EFZ",2,0.03,1,1
161,"Winzer/in EFZ",2,0.03,1,1
161,"Zeichner/in (Landschaftsarchitektur) EFZ",2,0.03,1,1
189,"Anlagenführer/in EFZ",1,0.01,0,1
189,"Anlehre: Fahrzeugmaler/in",1,0.01,0,1
189,"Anlehre: Textil und Bekleidung",1,0.01,1,0
189,"Attest: Baugewerbe, Malerei",1,0.01,0,1
189,"Bauwerktrenner/in EFZ",1,0.01,0,1
189,"Bekleidungsgestalter/in (Kürschnerei)",1,0.01,1,0
189,"Betonwerker/in EFZ",1,0.01,0,1
189,"Chemie- und Pharmatechnologe/-login EFZ",1,0.01,0,1
189,"Dachdecker/in",1,0.01,0,1
189,"Diätkoch/-köchin EFZ",1,0.01,1,0
189,"Feinwerkoptiker/in",1,0.01,1,0
189,"Flachdachbauer/in",1,0.01,0,1
189,"Fleischfachassistent/in EBA",1,0.01,1,0
189,"Flexodrucker/in EFZ",1,0.01,0,1
189,"Gärtner/in (Baumschule)",1,0.01,0,1
189,"Ind.u.Unterlagsbodenbauerpraktiker/in EBA",1,0.01,0,1
189,"Kunststoffverarbeiter/in EBA",1,0.01,0,1
189,"Müller/in (Lebensmittel)",1,0.01,0,1
189,"Oberflächenpraktiker/in EBA",1,0.01,0,1
189,"Orthopädie-Schuhmacher/in EFZ",1,0.01,0,1
189,"Papiertechnologe/-login EFZ",1,0.01,0,1
189,"Pferdefachmann/-frau (Gangpferdereiten) EFZ",1,0.01,1,0
189,"Pferdefachmann/-frau (Klassisches Reiten) EFZ",1,0.01,1,0
189,"Pferdefachmann/-frau (Pferderennsport) EFZ",1,0.01,1,0
189,"Polybauer/in (Abdichten) EFZ",1,0.01,0,1
189,"Polybauer/in (Gerüstbau) EFZ",1,0.01,0,1
189,"Siebdrucker/in",1,0.01,1,0
189,"Steinbildhauer/in EFZ",1,0.01,0,1
189,"Textiltechnologe/-login (Veredlung) EFZ",1,0.01,0,1
189,"Uhrmacher/in (Rhabillage)",1,0.01,0,1
189,"Weintechnologe/-login EFZ",1,0.01,0,1
189,"Wohntextilgestalter/in EFZ",1,0.01,1,0
